
13-02-2016	12:38:17	5000	2.180	4.883	
20-02-2016	05:52:29	10000	2.108	4.808	
01-03-2016	12:30:37	4000	7.634	4.687	
06-03-2016	01:33:39	10000	7.349	4.686	
28-03-2016	11:48:36	5000	6.683	4.448	
11-06-2016	10:30:52	10000	4.592	3.769	
03-08-2016	10:25:49	6000	5.018	3.333	
27-08-2016	10:11:51	7000	6.820	3.103	
02-10-2016	06:27:53	6000	6.148	2.951	
05-10-2016	08:32:03	4000	4.956	4.060	
07-10-2016	11:24:38	6000	4.946	4.043	
11/22/2016	9:06:19 AM	3000	3.759	3.465	
12/21/2016	11:13:28 AM	3000	3.585	3.446	
